h,Max Error,Error[i]/Error[i-1],
0.5,0.341834,
0.25,0.178902,1.91073,
0.125,0.0902135,1.9831,
0.0625,0.0451959,1.99606,
0.03125,0.0226089,1.99903,
0.015625,0.0113058,1.99976,
0.0078125,0.00565308,1.99994,
0.00390625,0.00282656,1.99998,
0.00195312,0.00141328,2,
0.000976562,0.000706642,2,
0.000488281,0.000353321,2,
0.000244141,0.000176663,1.99997,
0.00012207,8.83324e-05,1.99998,
6.10352e-05,4.41773e-05,1.9995,
3.05176e-05,2.16473e-05,2.04078,
