0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81,84,87,90,93,96,99,102,105,108,111,114,117,120,123,126,129,132,135,138,141,144,147,150,153,156,159,162,165,168,171,174,177,180,183,186,189,192,195,198,201,204,207,210,213,216,219,222,225,228,231,234,237,240,243,246,249,252,255,258,261,264,267,270,273,276,279,282,285,288,291,294,297,300,
100,97,94,91,88,85,82,79,76,73,70,67,64,61,58,55,52,49,46,43,40,37,34,31,28,25,22,19,16,13,10,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,97,94,91,88,85,82,79,76,73,70,67,64,61,58.0134,55.2316,52.6312,50.194,47.9048,45.7511,43.7217,41.807,39.9984,38.2883,36.6698,35.1365,33.6827,32.3033,30.9934,29.7486,28.5649,27.4385,26.3659,25.3438,24.3694,23.4396,22.5521,21.7042,20.8938,20.1188,19.377,18.6667,17.9861,17.3336,16.7076,16.1067,15.5295,14.9747,14.4412,13.9277,13.4332,12.9568,12.4974,12.0541,11.6261,11.2126,10.8129,10.4261,10.0517,9.6889,9.33719,8.99598,8.66469,8.34283,8.02988,7.72538,7.42889,7.13998,6.85825,6.58332,6.31482,6.05241,5.79576,5.54456,5.29851,5.05732,4.82073,4.58848,4.36033,4.13603,3.91537,3.69814,3.48413,3.27315,3.06502,2.85956,2.6566,2.45598,2.25755,2.06116,1.86668,1.67397,1.4829,1.29335,1.10521,0.918365,0.732707,0.548137,0.364556,0.181873,0,
100,86.745,82.6653,79.43,76.3877,73.4352,70.5559,67.7519,65.029,62.3928,59.8474,57.3955,55.0381,52.7754,50.6066,48.5299,46.5432,44.6439,42.8291,41.0958,39.4407,37.8606,36.3523,34.9125,33.538,32.2259,30.973,29.7765,28.6335,27.5415,26.4979,25.5001,24.546,23.6332,22.7596,21.9232,21.1222,20.3547,19.6189,18.9134,18.2364,17.5865,16.9624,16.3627,15.7863,15.2318,14.6981,14.1843,13.6893,13.2121,12.7519,12.3077,11.8788,11.4644,11.0638,10.6762,10.301,9.93756,9.58529,9.24362,8.91201,8.58995,8.27696,7.97256,7.67632,7.38782,7.10665,6.83245,6.56484,6.30349,6.04807,5.79825,5.55376,5.31429,5.07959,4.84939,4.62344,4.40152,4.1834,3.96886,3.75771,3.54974,3.34477,3.14263,2.94314,2.74614,2.55149,2.35902,2.16861,1.98011,1.79339,1.60834,1.42484,1.24277,1.06203,0.882514,0.704122,0.526763,0.350346,0.174786,0,
100,97,94,91,88,85,82,79,76,73,70,67,64,61.2184,58.6662,56.3111,54.1272,52.0934,50.1923,48.4094,46.7322,45.1503,43.6547,42.2373,40.8915,39.611,38.3905,37.2253,36.1111,35.0441,34.0209,33.0384,32.0937,31.1843,30.3078,29.4622,28.6454,27.8557,27.0914,26.351,25.6331,24.9363,24.2595,23.6015,22.9613,22.3379,21.7304,21.138,20.5598,19.9952,19.4433,18.9037,18.3755,17.8584,17.3516,16.8548,16.3675,15.8891,15.4192,14.9575,14.5036,14.057,13.6176,13.1848,12.7585,12.3383,11.924,11.5152,11.1118,10.7135,10.3201,9.93131,9.547,9.16695,8.79098,8.4189,8.05056,7.68579,7.32443,6.96634,6.61139,6.25942,5.91033,5.56398,5.22026,4.87905,4.54026,4.20377,3.8695,3.53734,3.2072,2.87901,2.55267,2.22811,1.90526,1.58403,1.26436,0.94619,0.629446,0.314069,0,
100,79.5779,73.8594,70.1576,67.1043,64.3829,61.8855,59.5637,57.3904,55.3475,53.4216,51.6019,49.8792,48.2456,46.694,45.2182,43.8125,42.472,41.1919,39.9681,38.7968,37.6744,36.5977,35.5638,34.57,33.6137,32.6927,31.8048,30.9481,30.1206,29.3208,28.547,27.7978,27.0718,26.3677,25.6843,25.0205,24.3753,23.7478,23.1368,22.5418,21.9617,21.3959,20.8437,20.3043,19.7773,19.2618,18.7575,18.2638,17.7801,17.3061,16.8412,16.385,15.9372,15.4973,15.065,14.64,14.222,13.8105,13.4054,13.0064,12.6132,12.2255,11.8431,11.4658,11.0934,10.7257,10.3624,10.0035,9.64858,9.29764,8.95048,8.60694,8.26687,7.93013,7.59659,7.26611,6.93858,6.61388,6.29189,5.9725,5.65562,5.34114,5.02897,4.71901,4.41119,4.10541,3.8016,3.49968,3.19957,2.90121,2.60453,2.30947,2.01595,1.72392,1.43333,1.14411,0.856223,0.569607,0.284214,0,
