h,Delta t,Max Error,Error[i]/Error[i-1],
0.25,0.0625,0.0339019,
0.125,0.015625,0.00665366,5.09522,
0.0625,0.00390625,0.00155101,4.28989,
0.03125,0.000976562,0.000380783,4.07321,
0.015625,0.000244141,9.47613e-05,4.01834,
0.0078125,6.10352e-05,2.36632e-05,4.00459,
0.00390625,1.52588e-05,5.9141e-06,4.00115,
0.00195312,3.8147e-06,1.47842e-06,4.00028,
