0,30,60,90,120,150,180,210,240,270,300,
100,70,40,10,0,0,0,0,0,0,0,
77.8801,48.771,22.335,5.24779,0.614858,0.0695672,0.00849047,0.00114685,0.000170975,2.59731e-05,2.02476e-17,
77.8801,47.8801,18.1028,1.29133,0.0144416,6.32624e-05,1.92956e-07,5.41281e-10,1.59693e-12,5.28721e-15,2.02476e-17,
60.6531,33.3167,12.6827,2.95496,0.519968,0.0886224,0.0157315,0.00297291,0.000593875,0.000112411,1.7646e-12,
60.6531,30.6552,5.70311,0.256294,0.0060391,0.000121616,2.54282e-06,5.947e-08,1.59671e-09,4.94871e-11,1.7646e-12,
